연번,업종,업태,업소명,소재지,전화번호
1,일반음식점,한식,돈토지족발,가야읍 가야9길 13,055-582-7922
2,일반음식점,한식,신강호맛족(함안점),가야읍 가야로 109,055-585-6669
3,일반음식점,통닭(치킨),또래오래(함안점),가야읍 가야로 141-2,055-583-9283
4,일반음식점,분식,스텔라떡볶이 경남함안점,"가야읍 가야로 41, 1층",055-584-9990
5,일반음식점,한식,본죽 함안점,가야읍 가야로 51,055-585-6889
6,일반음식점,한식,아라정,가야읍 가야로 60,055-583-5596
7,일반음식점,한식,진성횟집,가야읍 가야로 77,055-584-4405
8,일반음식점,한식,한양상회(함안1호점),가야읍 가야로 83,055-584-9222
9,일반음식점,한식,명륜진사갈비,가야읍 가야로 83-1,055-585-6040
10,일반음식점,한식,신 자매청국장,가야읍 고분길 206-1,055-585-2014
11,일반음식점,한식,경원해물찜(함안점),가야읍 고분길 85,055-583-2841
12,일반음식점,한식,느티나무,가야읍 도항1길 46-4,055-582-7889
13,일반음식점,한식,가야정,가야읍 말산2길 29,055-582-5296
14,일반음식점,한식,아라곰탕,가야읍 말산로 101,055-582-6466
15,일반음식점,한식,가야숯불구이,가야읍 말산로 15,055-583-8878
16,일반음식점,한식,검암산천 생고기,가야읍 중검길 75,055-585-9848
17,일반음식점,한식,덕분이오,가야읍 삼봉로 507-12,055-582-5233
18,일반음식점,한식,아라풍천민물장어,"가야읍 삼봉로 521-4, 1층",055-583-0092
19,일반음식점,한식,함안어탕,가야읍 삼봉로 589,055-583-1911
20,일반음식점,한식,쾌지나 칭칭,가야읍 새터길 168-2,055-585-3777
21,일반음식점,일식,큰섬,"가야읍 성내남길 192, 4층,5층 501호",055-585-5810
22,일반음식점,한식,명품진국등심해장국,"가야읍 성내남길 203, 1층",055-585-6735
23,일반음식점,한식,강촌,"가야읍 성내남길 31-19, 1층",055-584-2266
24,일반음식점,양식,스토브(STOVE),가야읍 성내남길 31-20,055-582-4546
25,일반음식점,한식,진미식당,가야읍 성내남길 32-12,055-583-8471
26,일반음식점,한식,샤브향 함안점,"가야읍 성내남길 7-8, 1층",055-582-3388
27,일반음식점,한식,연을 담은 돈까스,가야읍 왕궁1길 36,055-585-1270
28,일반음식점,한식,어만형제,가야읍 왕궁1길 36,055-585-4707
29,일반음식점,한식,가원,가야읍 왕궁길 170-21,055-584-5500
30,일반음식점,한식,신천유황오리,가야읍 왕궁길 186,055-582-5289
31,일반음식점,한식,음식마을,가야읍 장터길 61,055-583-0180
32,일반음식점,한식,옛날추어탕,가야읍 중앙남1길 25-17,055-585-0072
33,일반음식점,한식,함안지역자활센터(대장금),가야읍 중앙남1길 25-9,055-583-9877
34,일반음식점,한식,언양석쇠불고기,"가야읍 중앙남3길 30, 1층",055-582-0560
35,일반음식점,한식,소풍,"가야읍 중앙남3길 40, 1,2층",055-585-8878
36,일반음식점,한식,거북이 식당,가야읍 중앙남길 24-29,055-585-9221
37,일반음식점,한식,맛소리,가야읍 중앙남길 25,0504-0999-3447
38,일반음식점,분식,닥치고 떡볶이,가야읍 중앙남길 25,055-582-5799
39,일반음식점,한식,오리한마당,가야읍 중앙남길 28,055-584-5288
40,일반음식점,기타,더이스트,가야읍 중앙남길 34,055-585-0660
41,일반음식점,한식,박영순찜전문점,가야읍 중앙남길 7,055-585-0866
42,일반음식점,한식,서울복집,가야읍 중앙본길 30,055-585-5432
43,일반음식점,한식,함안제일숯불갈비,가야읍 중앙본길 32,055-583-1911
44,일반음식점,한식,신라해장국,가야읍 중앙본길 37-1,055-583-8848
45,일반음식점,한식,철따라 횟집,가야읍 중앙북길 34,055-585-5757
46,일반음식점,한식,아시랑 국시,가야읍 함마대로 1382,055-583-5938
47,일반음식점,한식,전주콩나물해장국,가야읍 함마대로 1514-4,055-584-0078
48,일반음식점,한식,가야 매미궁뎅이,가야읍 함안대로 520,055-582-5212
49,일반음식점,한식,바다장어마을,가야읍 함안대로 532,055-583-1535
50,일반음식점,한식,김영희동태찜&코다리냉면(가야점),가야읍 함안대로 536,055-585-6700
51,일반음식점,한식,본도시락 함안점,"가야읍 함안대로 537, 1층",055-585-4282
52,일반음식점,한식,꾸브라꼬 숯불두마리 치킨,"가야읍 함안대로 541, 1층",055-585-5852
53,일반음식점,한식,삼봉산돼지국밥,"가야읍 함안대로 772, 1층",055-585-8338
54,일반음식점,한식,준식당,군북면 사군로 1571,055-585-5069
55,일반음식점,한식,명문가든,군북면 월촌로 210,055-583-2088
56,일반음식점,한식,고기마루,군북면 월촌안길 191,055-582-7702
57,일반음식점,한식,신성원,군북면 장백로 353,055-582-8008
58,일반음식점,한식,대지식당,군북면 정주로 46,055-582-2782
59,일반음식점,기타,자연임실치즈피자,군북면 중암4길 34,055-584-3773
60,일반음식점,한식,거북식당,군북면 중암5길 22-1,
