순번,음식점명,상세페이지 링크,주소,위도,경도
01,검암산천 은하수생고기,https://www.haman.go.kr/02373/02374/02380.web?amode=view&idx=406&pageunit=999&category=R0500,경상남도 함안군 가야읍 중검길 75,128.421447363483,35.2732802814658
02,느티나무,https://www.haman.go.kr/02373/02374/02380.web?amode=view&idx=407&pageunit=999&category=R0500,경상남도 함안군 가야읍 도항1길 46-4,128.406249726762,35.2807766174877
03,대영한우식당,https://www.haman.go.kr/02373/02374/02380.web?amode=view&idx=408&pageunit=999&category=R0500,경상남도 함안군 가야읍 충무길 63,128.40231826132,35.2790223748187
04,명품진국등심해장국,https://www.haman.go.kr/02373/02374/02380.web?amode=view&idx=286&pageunit=999&category=R0500,"경상남도 함안군 가야읍 성내남길 203, 1층",128.399552079085,35.27435654821
05,신천유황오리,https://www.haman.go.kr/02373/02374/02380.web?amode=view&idx=290&pageunit=999&category=R0500,경상남도 함안군 가야읍 왕궁길 186,128.393139453295,35.2785759769545
06,아라밀면,https://www.haman.go.kr/02373/02374/02380.web?amode=view&idx=291&pageunit=999&category=R0500,경상남도 함안군 가야읍 중앙남길 36,128.408858814501,35.2747466292004
07,아라정,https://www.haman.go.kr/02373/02374/02380.web?amode=view&idx=409&pageunit=999&category=R0500,경상남도 함안군 가야읍 가야로 60  1층,128.407765569796,35.2776069501955
08,옛날추어탕,https://www.haman.go.kr/02373/02374/02380.web?amode=view&idx=410&pageunit=999&category=R0500,경상남도 함안군 가야읍 중앙남1길 25-17,128.406369992762,35.2754961422728
09,정가네칼국수,https://www.haman.go.kr/02373/02374/02380.web?amode=view&idx=411&pageunit=999&category=R0500,경상남도 함안군 가야읍 가야10길 13 (전원아파트) A-1호,128.409410077691,35.2773852879829
10,쾌지나칭칭,https://www.haman.go.kr/02373/02374/02380.web?amode=view&idx=412&pageunit=999&category=R0500,경상남도 함안군 가야읍 새터길 168-2  1층 1호,128.391735653726,35.2946769542233
11,함안어탕,https://www.haman.go.kr/02373/02374/02380.web?amode=view&idx=413&pageunit=999&category=R0500,경상남도 함안군 가야읍 삼봉로 589,128.399075121741,35.2905395246743
12,남다른생고기,https://www.haman.go.kr/02373/02374/02380.web?amode=view&idx=414&pageunit=999&category=R0500,경상남도 함안군 칠원읍 용산1길 16-4,128.517717606428,35.3085025880993
