연번,읍면,경로당명,주 소
1,가야읍,가야동경로당,경상남도 함안군 가야읍 왕궁길 170-11
2,가야읍,가야부녀경로당,경상남도 함안군 가야읍 방목1길 13-7
3,가야읍,가야읍경로당,경상남도 함안군 가야읍 방목1길 13-9
4,가야읍,계티경로당,경상남도 함안군 가야읍 함마대로 1227-15 (사내리 942)
5,가야읍,관동경로당,경상남도 함안군 가야읍 관동길 29-1
6,가야읍,광복동경로당,경상남도 함안군 가야읍 가야로 144
7,가야읍,괘안경로당,경상남도 함안군 가야읍 신암1길 79
8,가야읍,남경아파트경로당,경상남도 함안군 가야읍 말산리 33-3
9,가야읍,남문경로당,경상남도 함안군 가야읍 남문길 6-23
10,가야읍,남선아파트경로당,경상남도 함안군 가야읍 도항리 212-2
11,가야읍,당산동경로당,경상남도 함안군 가야읍 도항리 178-1
12,가야읍,대경동경로당,경상남도 함안군 가야읍 가야로 155 (대경 파미르)
13,가야읍,덕전 백세사랑방 경로당,경상남도 함안군 가야읍 백새1길 3
14,가야읍,덕전경로당,경상남도 함안군 가야읍 백새길 189
15,가야읍,도동경로당,경상남도 함안군 가야읍 도동길 129
16,가야읍,도음경로당,경상남도 함안군 가야읍 도음길 152
17,가야읍,도항2단지주공아파트경로당,경상남도 함안군 가야읍 도항리 307 209 209동
18,가야읍,도항주공1단지아파트경로당,경상남도 함안군 가야읍 도항리 310
19,가야읍,도화경로당,경상남도 함안군 가야읍 산서7길 178
20,가야읍,돈산경로당,경상남도 함안군 가야읍 돈산길 67
21,가야읍,동동경로당,경상남도 함안군 가야읍 방목1길 32
22,가야읍,동신아파트경로당,경상남도 함안군 가야읍 도항리 224-4
23,가야읍,둘안경로당,경상남도 함안군 가야읍 산서5길 12
24,가야읍,묘동경로당,경상남도 함안군 가야읍 묘사1길 275
25,가야읍,백산경로당,경상남도 함안군 가야읍 잣뫼길 8
26,가야읍,본동경로당,경상남도 함안군 가야읍 본동길 57
27,가야읍,삼거경로당,경상남도 함안군 가야읍 산서8길 110-29
28,가야읍,삼기경로당,경상남도 함안군 가야읍 삼기길 152-1
29,가야읍,상검동경로당,경상남도 함안군 가야읍 상검길 24
30,가야읍,상광경로당,경상남도 함안군 가야읍 광정로 251
31,가야읍,새터장수사랑방,경상남도 함안군 가야읍 새터안길 3
32,가야읍,선왕경로당,경상남도 함안군 가야읍 가야리 1115번지 4호
33,가야읍,신동경로당,경상남도 함안군 가야읍 가야17길 22
34,가야읍,신동부녀경로당,경상남도 함안군 가야읍 가야17길 22
35,가야읍,신암경로당,경상남도 함안군 가야읍 신암3길 19
36,가야읍,신음리못골회 장수사랑방,경상남도 함안군 가야읍 신음리 607
37,가야읍,아라동경로당,"경상남도 함안군 가야읍 가야18길 22, 102동 1층 103호 (태완 노블리안 아파트)"
38,가야읍,양수장경로당,경상남도 함안군 가야읍 양포길 42
39,가야읍,양포발채경로당,경상남도 함안군 가야읍 산서리 335
40,가야읍,원동경로당,경상남도 함안군 가야읍 고분2길 15-9
41,가야읍,월성경로당,경상남도 함안군 가야읍 혈곡리 442-1
42,가야읍,은하아파트경로당,경상남도 함안군 가야읍 검암리 587
43,가야읍,이곡경로당,경상남도 함안군 가야읍 이곡1길 238-2
44,가야읍,입등경로당,경상남도 함안군 가야읍 산서2길 12
45,가야읍,장명경로당,경상남도 함안군 가야읍 묘사2길 348-2
46,가야읍,중검동경로당,경상남도 함안군 가야읍 검암천남길 41
47,가야읍,중광경로당,경상남도 함안군 가야읍 중광길 22
48,가야읍,중동경로당,경상남도 함안군 가야읍 방목1길 22
49,가야읍,중앙1동경로당,경상남도 함안군 가야읍 중앙남1길 12
50,가야읍,중앙2동경로당,경상남도 함안군 가야읍 중앙본안길 22
51,가야읍,축암경로당,경상남도 함안군 가야읍 산서리 684-878
52,가야읍,춘곡경로당,경상남도 함안군 가야읍 춘곡2길 104
53,가야읍,춘곡신기경로당,경상남도 함안군 가야읍 춘곡리 588
54,가야읍,충무동경로당,경상남도 함안군 가야읍 함안대로 588-1
55,가야읍,필동경로당,경상남도 함안군 가야읍 북실길 192
56,가야읍,하검동경로당,경상남도 함안군 가야읍 하검안길 2-2
57,가야읍,해동경로당,경상남도 함안군 가야읍 말산리 448
58,칠원읍,곡촌경로당,경상남도 함안군 칠원읍 예곡2길 36 (52)
59,칠원읍,곡촌부녀경로당,경상남도 함안군 칠원읍 예곡2길 51
60,칠원읍,광려천메트로자이아파트경로당,경상남도 함안군 칠원읍 삼호길 181 (181)
61,칠원읍,기산경로당,경상남도 함안군 칠원읍 운서2길 32
62,칠원읍,남구경로당,경상남도 함안군 칠원읍 구성1길 55
63,칠원읍,달전경로당,경상남도 함안군 칠원읍 유원길 278 (539)
64,칠원읍,대동아파트경로당,경상남도 함안군 칠원읍 갈티길 13 (18-5)
65,칠원읍,덕산경로당,경상남도 함안군 칠원읍 덕산1길 42
66,칠원읍,덕암경로당,경상남도 함안군 칠원읍 운곡3길 7-2
67,칠원읍,돈담경로당,경상남도 함안군 칠원읍 돈담길 11
68,칠원읍,동성아파트경로당,경상남도 함안군 칠원읍 원서로 89-21
69,칠원읍,동암경로당,경상남도 함안군 칠원읍 유장3길 91
70,칠원읍,무기경로당,경상남도 함안군 칠원읍 무기1길 6-5 (무기리 810-1)
71,칠원읍,벽산블루밍2차아파트경로당,경상남도 함안군 칠원읍 호암길 6
72,칠원읍,벽산블루밍아파트경로당,경상남도 함안군 칠원읍 오곡로 103
73,칠원읍,부곡경로당,경상남도 함안군 칠원읍 부곡1길 39
74,칠원읍,산정경로당,경상남도 함안군 칠원읍 무기로 423
75,칠원읍,삼칠향노회,경상남도 함안군 칠원읍 서남2길 3
76,칠원읍,서상경로당,경상남도 함안군 칠원읍 서남1길 29
77,칠원읍,석전경로당,경상남도 함안군 칠원읍 예용로 33 (92)
78,칠원읍,석전부녀경로당,경상남도 함안군 칠원읍 석전1길 45 (98)
79,칠원읍,선두아파트경로당,경상남도 함안군 칠원읍 동대이안길 77
80,칠원읍,소목경로당,경상남도 함안군 칠원읍 운곡4길 4 (운곡리 199-5)
81,칠원읍,쇠만경로당,경상남도 함안군 칠원면 쇠만이길 18 (18)
82,칠원읍,수정그린아파트경로당,경상남도 함안군 칠원읍 경남대로 1795-2 (1504-1)
83,칠원읍,야촌경로당,경상남도 함안군 칠원읍 야촌1길 7-1
84,칠원읍,양정경로당,경상남도 함안군 칠원읍 예용2길 65
85,칠원읍,오곡경로당,경상남도 함안군 칠원읍 큰오곡길 75
86,칠원읍,용산경로당,경상남도 함안군 칠원읍 용산3길 10
87,칠원읍,운동경로당,경상남도 함안군 칠원읍 운곡2길 28-2
88,칠원읍,운서운곡리경로당,경상남도 함안군 칠원읍 운무로 254
89,칠원읍,원구성경로당,경상남도 함안군 칠원읍 성내2길 22
90,칠원읍,유원경로당,경상남도 함안군 칠원읍 유장길 120-1
91,칠원읍,유하경로당,경상남도 함안군 칠원읍 유장길 45
92,칠원읍,이현경로당,경상남도 함안군 칠원읍 구성2길 18
93,칠원읍,작은오곡경로당,경상남도 함안군 칠원읍 작은오곡길 75
94,칠원읍,장암경로당,경상남도 함안군 칠원읍 유장길 723
95,칠원읍,죽청경로당,경상남도 함안군 칠원읍 운서1길 103-2
96,칠원읍,칠원경로당,경상남도 함안군 칠원읍 용산1길 26
97,칠원읍,칠원엘에이치아파트경로당,경상남도 함안군 칠원읍 구성길 141-1 (함안칠원엘에이치아파트 경로당)
98,칠원읍,학동경로당,경상남도 함안군 칠원면 운서3길 36 (48)
99,칠원읍,호곡경로당,경상남도 함안군 칠원읍 호곡3길 5
100,함안면,강외경로당,경상남도 함안군 함안면 강명2길 14
101,함안면,강외동 샛담경로당,경상남도 함안군 함안면 샛담길 94
102,함안면,강지경로당,경상남도 함안군 함안면 강지1길 43-2
103,함안면,괴항경로당,경상남도 함안군 함안면 괴산3길 18
104,함안면,굴바대경로당,경상남도 함안군 함안면 강명리 1067번지 2호
105,함안면,금천경로당,경상남도 함안군 함안면 대산리 587
106,함안면,너드리경로당,경상남도 함안군 함안면 강명4길 15
107,함안면,대사경로당,경상남도 함안군 함안면 한절골1길 101-1
108,함안면,도림경로당,경상남도 함안군 함안면 한절골4길 45
109,함안면,동지산경로당,경상남도 함안군 함안면 한절골2길 264
110,함안면,동촌경로당,경상남도 함안군 함안면 북촌2길 42-1
111,함안면,득성동경로당,경상남도 함안군 함안면 괴산2길 138
112,함안면,미산경로당,경상남도 함안군 함안면 파수리 165-2
113,함안면,백암경로당,경상남도 함안군 함안면 백암안길 45
114,함안면,봉성경로당,경상남도 함안군 함안면 봉성7길 12
115,함안면,상파경로당,경상남도 함안군 함안면 곶감1길 49-14
116,함안면,서촌경로당,경상남도 함안군 함안면 함안대로 123-1
117,함안면,신개경로당,경상남도 함안군 함안면 괴산2길 54
118,함안면,원촌경로당,경상남도 함안군 함안면 파수리 512-1
119,함안면,정동경로당,경상남도 함안군 함안면 북촌리 161 / 정동길 39
120,함안면,중산경로당,경상남도 함안군 함안면 강명5길 132
121,함안면,중촌경로당,경상남도 함안군 함안면 봉성4길 20-1
122,함안면,하파경로당,경상남도 함안군 함안면 파수북길 42
123,함안면,함안면경로당,경상남도 함안군 함안면 성산로 4
124,함안면,함안면덕암경로당,경상남도 함안군 함안면 봉성리 848-1
125,함안면,함안신교경로당,경상남도 함안군 함안면 봉성3길 27-5
126,군북면,가덕경로당,경상남도 함안군 군북면 박곡1길 58
127,군북면,구두실경로당,경상남도 함안군 군북면 구두실길 14
