연번,작품명,작품분류,건축물위치(미술작품 설치장소),설치일자
1,아라가야의 햇살,조각,함안군 가야읍 도항리 대한주택공사아파트 ,2004-06-28
2,행복의 원,조각,함안군 가야읍 도항리 대한주택공사아파트 ,2006-05-02
3,황금불,조각,함안군 칠원면 오곡리 광려천 메트로자이아파트,2006-08-31
4,소망-손안의 행복,조각,함안군 칠원면 오곡리 광려천 메트로자이아파트,2006-08-31
5,회귀,조각,함안군 칠원면 오곡리 광려천 메트로자이아파트,2006-08-31
6,자연의 노래,조각,함안군 칠원면 오곡리 광려천 벽산블루밍아파트,2008-03-12
7,비상,조각,함안 칠원 국민임대아파트 ,2012-07-27
8,신세계를 위하여,조각,가야읍 검암리 770번지 대경파미르아파트,2012-09-12
9,가족이 있는 풍경,조각,함안군 칠원면 오곡리 113번지 벽산블루밍2차아파트,2014-05-28
10,클래식,조각,함안군 가야읍 말산리 24-9 태완노블리안아파트,2014-06-27
11,가족,조각,함안군 가야읍 도항리 320번지 도항대경파미르아파트,2014-11-25
12,성소,회화,함안군 가야읍 도항리 323 휴니온클래식,2017-11-24
13,세월의 향기,회화,함안군 가야읍 도항리 323 휴니온클래식,2017-11-24
