연번,업소명,영업자,소재지,업태
1,아라정,백수정,가야읍 가야로 60,한식
2,가야정,김주야,가야읍 말산2길 29,한식
3,아라곰탕,변재득,가야읍 말산로 101,한식
4,강촌,김윤경,"가야읍 성내남길 31-19, 1호",한식
5,철따라횟집,주근우,가야읍 중앙북길 34,횟집
6,황토복집,김명숙,군북면 지두3길 6,한식
7,양평해장국(군북점),전희중,군북면 함마대로 850,한식
8,함안(부산방향)휴게소,이우봉,군북면 현포로 205,한식
9,함안(순천방향)휴게소,이우봉,군북면 현포로 205-1,한식
10,솔밭가든,윤성자,법수면 법수로 492,한식
11,국보삼계탕,김경남,산인면 산인로 333 (외 1필지),한식
12,본가삼계탕,김해숙,산인면 신산로 224,한식
13,맛고을한우마당,박해식,산인면 함마대로 1814,한식
14,양평해장국,윤태한,산인면 함마대로 2280,한식
15,식객,김둘이,여항면 내곡3길 47,한식
16,부경갈비,배한옥,칠북면 온천로 47,한식
17,한식,진승원,"칠서면 계룡로 122-1, 칠서(양평)휴게소",한식
18,너와촌,박영숙,칠서면 공단상가3길 40,한식
19,처음본 명품민물장어 함안점,하다선,칠원읍 경남대로 1763,한식
20,전원초밥,석철권,칠원읍 경남대로 1823,한식
21,참하누,정종인,칠원읍 송평로 480,한식
22,야촌원두막,김대영,칠원읍 야촌1길 16,한식
23,언양석쇠불고기,이여진,"가야읍 중앙남3길 30, 1층",한식
24,검암산천 은하수 생고기,우봉연,가야읍 중검길 75,한식
25,아라분식,이학순,군북면 중암6길 11-16,분식
26,사철박경순 냉면,이진우,"칠원읍 용산2길 65, 2층",한식
