등록번호,중개업소명,사무소전화번호,사무소주소(도로명)
가-4324-0012,삼성부동산중개,055-585-5126,경상남도 함안군 군북면 중암7길 83 (군북면)
가-4324-0024,힘찬부동산중개,055-586-2271,경상남도 함안군 칠원읍 구성길 186 
가-4324-0085,토탈부동산중개사사무소,055-582-7993,경상남도 함안군 가야읍 함마대로 1501 (가야읍)
가-4324-0132,가야공인중개사사무소,055-585-9009,경상남도 함안군 가야읍 가야로 158 2동 101호
가-4324-0160,신우공인중개사사무소,055-582-1999,경상남도 함안군 가야읍 함안대로 498-1 
가-4324-0168,코끼리공인중개사사무소,055-587-0550,경상남도 함안군 칠북면 칠북로 21 
가-4324-0202,태성공인중개사사무소,055-587-8626,경상남도 함안군 칠원읍 구성길 43 (칠원읍)
가-4324-0216,OK공인중개사사무소,055-586-8949,경상남도 함안군 칠원읍 운무로 6 (칠원읍)
가-4324-0217,신기공인중개사사무소,055-587-4870,경상남도 함안군 칠서면 삼칠로 1309 
가-4324-0219,열린공인중개사사무소,055-587-2100,경상남도 함안군 칠서면 함의로 26 (칠서면)
가-4324-0237,베스트공인중개사사무소,055-583-0584,경상남도 함안군 함안면 함안대로 117 
가-4324-0257,골드공인중개사사무소,055-583-8904,경상남도 함안군 가야읍 함안대로 740-1 (가야읍)
가-4324-0263,GS나라공인중개사사무소,055-586-3100,경상남도 함안군 칠원읍 오곡로 59 
가-4324-0288,김은주공인중개사사무소,055-583-4440,경상남도 함안군 가야읍 가야로 66-1 
가-4324-0291,황토공인중개사사무소,055-585-8245,경상남도 함안군 군북면 함마대로 378 (군북면)
가-4324-0312,대야공인중개사사무소,055-585-3003,"경상남도 함안군 가야읍 성내남길 192 2층, 201호"
가-4324-0318,박순철제일부동산사무소,055-583-9923,경상남도 함안군 가야읍 함안대로 461 (가야읍)
가-4324-0330,만평공인중개사사무소,055-585-7755,경상남도 함안군 칠원읍 삼칠로 188 
가-4324-0341,군북공인중개사사무소,055-585-4986,경상남도 함안군 군북면 중암4길 10 1층
가-4324-0344,본토공인중개사사무소,055-585-1414,경상남도 함안군 가야읍 말산로 28 108호
가-4324-0349,정우공인중개사사무소,055-586-8959,경상남도 함안군 칠원읍 갈티길 4 
가-4324-0355,대흥부동산중개사무소,055-582-8844,경상남도 함안군 칠원읍 오곡로 62 (칠원읍)
가-4324-0363,세림공인중개사사무소,055-582-1033,경상남도 함안군 군북면 중암4길 34 
가-4324-0367,대신공인중개사사무소,055-584-0049,경상남도 함안군 가야읍 함안대로 596 
가-4324-0372,계림공인중개사사무소,055-587-2005,경상남도 함안군 칠서면 삼칠로 257 
가-4324-0373,일등부동산중개,055-586-3542,경상남도 함안군 칠원읍 경남대로 1530-6 (칠원읍)
가-4324-0378,천지공인중개사사무소,055-587-4911,경상남도 함안군 칠서면 공단상가3길 97-12 (칠서면)
가-4324-0383,창공공인중개사사무소,055-586-4609,경상남도 함안군 칠원읍 예곡2길 6 (칠원읍)
가-4324-0387,명품공인중개사사무소,055-586-3377,경상남도 함안군 칠원읍 원서로 3 1층
가-4324-0398,대원공인중개사사무소,055-587-0202,경상남도 함안군 칠원읍 야촌1길 1 (칠원읍)
