연번,관리단체,행정동,설치장소,위도,경도
1,함안지역자활센터,가야읍,가야읍 말산3길 17 예다움빌라,35.27433,128.410791
2,함안지역자활센터,가야읍,가야읍 산서7길 41 축암경로당 인근,35.300325,128.399239
3,함안지역자활센터,가야읍,가야읍 산서7길 177 도와경로당 인근(2개소),35.300472,128.40476
4,함안지역자활센터,가야읍,가야읍 왕궁길 186 가야동경로당 인근,35.278646,128.393149
5,함안지역자활센터,가야읍,가야읍 충무길 31 고려골든빌라내 고려정 앞,35.277948,128.401152
6,함안지역자활센터,가야읍,가야읍 검암천남길 70,35.272088,128.41936
7,함안지역자활센터,가야읍,가야읍 남경길 186 한국아파트,35.280343,128.417579
8,함안지역자활센터,가야읍,가야읍 묘사리 520-21 솔밭마을 입구,35.303304,128.38513
9,함안지역자활센터,가야읍,가야읍 새터길 168-2 전원타운(쾌지나칭칭 인근),35.294577,128.391858
10,함안지역자활센터,가야읍,가야읍 하검길 143,35.275627,128.421136
11,함안지역자활센터,가야읍,가야읍 잣뫼길 8 백산마을회관,35.257598,128.409793
12,함안지역자활센터,가야읍,가야읍사무소,35.272279,128.408172
13,함안지역자활센터,군북면,군북면 민등길 67,35.29578,128.340163
14,함안지역자활센터,군북면,군북면 의산삼일로 2042 군북교회앞,35.256199,128.349518
15,함안지역자활센터,군북면,군북면사무소,35.261644,128.345036
16,함안지역자활센터,대산면,대산면 대산중앙로 183 대산성당건물 안,35.350265,128.430482
17,함안지역자활센터,대산면,대산면 대평로 201 사촌경로당과 버스정류장 사이,35.33722,128.462868
18,함안지역자활센터,대산면,대산면 대산중앙3길 88 삼진아파트,35.353365,128.428653
19,함안지역자활센터,대산면,대산면 구혜5길,35.35942,128.424771
20,함안지역자활센터,대산면,대산면 하기길 129,35.35102,128.407428
21,함안지역자활센터,대산면,대산면사무소,35.350085,128.431407
22,함안지역자활센터,법수면,법수면 대법로 223-4 악양경로당 인근,35.329795,128.392822
23,함안지역자활센터,법수면,법수면 석무길 62 서정에이스아파트,35.317102,128.38163
24,함안지역자활센터,법수면,법수면사무소,35.315407,128.355428
25,함안지역자활센터,산인면,산인면 모곡길 135-14 장내경로당 인근,35.275976,128.461403
26,함안지역자활센터,산인면,산인면 모곡길 163 갈전회관,35.275855,128.463532
27,함안지역자활센터,산인면,산인면 대천마을 공용주차장 입구,35.273335,128.446849
28,함안지역자활센터,산인면,산인면 송정2길 하송마을,35.286459,128.429038
29,함안지역자활센터,산인면,산인면 송정1길 송정경로당,35.285459,128.43003
30,함안지역자활센터,산인면,산인면 입곡본1길6 입곡경로당,35.259408,128.450566
31,함안지역자활센터,산인면,산인면 어연마을 입구,35.303536,128.439144
32,함안지역자활센터,산인면,산인면사무소,35.279248,128.424284
33,함안지역자활센터,여항면,여항면사무소,35.210175,128.434506
34,함안지역자활센터,칠원읍,칠서면사무소,35.333357,128.497998
35,함안지역자활센터,칠원읍,칠원읍 예곡2길 77-3,35.276327,128.53517
36,함안지역자활센터,칠원읍,칠원읍 예곡2길 51 곡촌경로당 (2개소),35.276332,128.533757
37,함안지역자활센터,칠원읍,칠원읍 오곡로 131-14 동원해리티지타운하우스,35.272849,128.518092
38,함안지역자활센터,칠서면,칠원읍 호곡3길 5 호곡회관,35.278024,128.514661
39,함안지역자활센터,함안면,함안면 괴산2길 87 해뜨는집입구,35.24959,128.417676
40,함안지역자활센터,함안면,함안면 한절골1길 85,35.255827,128.429261
41,함안지역자활센터,함안면,함안면 괴산3길 18 괴항경로당,35.254573,128.421555
42,함안지역자활센터,함안면,함안면 봉성7길 15 봉성경로당,35.240856,128.422881
43,함안지역자활센터,함안면,함안면 함안대로 126-2 (2개소),35.243489,128.42251
44,함안지역자활센터,함안면,함안면사무소,35.242027,128.423707
45,지체장애인협회 함안군지부,함안면,가야읍 광복동 황바우석쇠 앞(가야읍 가야로 137),35.279066,128.41607
46,지체장애인협회 함안군지부,함안면,가야읍 말산리 충무동 (가야읍 방목2길 12),35.278867,128.404437
47,지체장애인협회 함안군지부,가야읍,가야읍 중앙동회관 근처(가야읍 중앙남1길 16),35.275372,128.407369
48,지체장애인협회 함안군지부,가야읍,가야읍 굴다리돼지국밥 앞(가야읍 중앙남3길 40),35.276604,128.408549
49,지체장애인협회 함안군지부,군북면,가야읍 산서리 상공회의소 앞,35.291354,128.399535
50,지체장애인협회 함안군지부,군북면,산서월드 부동산 옆(가야읍 함안대로 730),35.291012,128.400397
51,지체장애인협회 함안군지부,군북면,산서돈산마을 입구,35.289099,128.402866
