순번,상호,소재지
1,(유)동원주유소,경상남도 함안군 대산면 송산로 798 
2,(주)동남에너지,경상남도 함안군 산인면 함마대로 2367
3,(주)썬엘 칠서(상)주유소·충전소,경상남도 함안군 칠서면 계룡로 122
4,(주)태화주유소,경상남도 함안군 군북면 함마대로 372
5,(주)플러스에너지,경상남도 함안군 법수면 법수로418
6,(주)하나에너지주유소,경상남도 함안군 법수면 함안대로 1022
7,가야농업협동조합주유소,경상남도 함안군 가야읍 함마대로 1600
8,가야농협함읍지점주유소,경상남도 함안군 함안면 성산로 6
9,강변주유소,경상남도 함안군 법수면 법정로224
10,경남주유소,경상남도 함안군 칠원읍 경남대로 1612 
11,고려주유소,경상남도 함안군 가야읍 함안대로 458 
12,구성주유소,경상남도 함안군 칠원읍 경남대로 1825 
13,군북농협주유소,경상남도 함안군 군북면 중암4길 3 
14,낙동주유소,경상남도 함안군 칠서면 삼칠로 1165-13 
15,대로주유소,경상남도 함안군 칠원읍 경남대로 1761 
16,대보건설(주) 함안(순천)주유소,경상남도 함안군 군북면 현포로 205-1
17,대산농협주유소,경상남도 함안군 대산면 대산중앙로 172
18,대산주유소,경상남도 함안군 대산면 대산중앙로 243
19,대암주유소,경상남도 함안군 군북면 사군로 1409
20,대천주유소,경상남도 함안군 가야읍 함마대로 1338
21,도항주유소,경상남도 함안군 가야읍 함마대로 1530 
22,봉촌주유소,경상남도 함안군 칠북면 온천로 187
23,산단주유소,경상남도 함안군 군북면 함안산단로 69
24,삼도에너지,경상남도 함안군 법수면 법수로 599
25,삼보주유소,경상남도 함안군 칠서면 함의로 217
26,삼원주유소,경상남도 함안군 군북면 정주로 3
27,삼칠농협주유소,경상남도 함안군 칠원읍 삼칠로 129
28,삼화주유소,경상남도 함안군 가야읍 말산로 100 
29,성원주유소,경상남도 함안군 칠북면 단내로 18-6
30,세기상사(주) 동현주유소,경상남도 함안군 칠서면 삼칠로 789
31,세중주유소,경상남도 함안군 칠원읍 삼칠로 7 
32,신성주유소,경상남도 함안군 군북면 장백로 361
33,씨제이대한통운(주) 신성주유소,경상남도 함안군 칠서면 유성로 12
34,에스씨3주유소,경상남도 함안군 산인면 함마대로 2316
35,예곡주유소,경상남도 함안군 칠원읍 경남대로 1500
36,우리주유소,경상남도 함안군 산인면 송산로117
37,의령IC주유소 베르데산업,경상남도 함안군 군북면 함마대로 281
38,일삼주유소,경상남도 함안군 대산면 함의로 735
39,조은에너지(주),경상남도 함안군 산인면 함마대로 2348
40,주식회사 금성에너지 대박주유소,경상남도 함안군 산인면 함마대로 1834
41,주식회사 이엠석유 함안(하)주유소,경상남도 함안군 군북면 현포로 205
42,청남제2주유소,경상남도 함안군 칠서면 삼칠로 306 
43,청남주유소,경상남도 함안군 칠북면 단내로 49 
44,칠북주유소,경상남도 함안군 칠북면 화천리 55
45,칠서IC주유소,경상남도 함안군 칠서면 삼칠로 305
46,칠원주유소,경상남도 함안군 칠원읍 함의로 73
47,태영주유소,경상남도 함안군 대산면 대부로 451
48,함마대로주유소,경상남도 함안군 산인면 함마대로 2035
49,함안주유소,경상남도 함안군 가야읍 가야로 64
50,군북IC주유소,경상남도 함안군 군북면 월촌1길 7 
51,형제주유소,경상남도 함안군 가야읍 함안대로 779 
52,희승주유소,경상남도 함안군 군북면 장백로 386
