토지소재지,전_면적,전_지번수,답_면적,답_지번수,과수원_면적,과수원_지번수,목장용지_면적,목장용지_지번수,임야_면적,임야_지번수,광천지_면적,광천지_지번수,염전_면적,염전_지번수,대_면적,대_지번수,공장용지_면적,공장용지_지번수,학교용지_면적,학교용지_지번수,주차장_면적,주차장_지번수,주유소용지_면적,주유소용지_지번수,창고용지_면적,창고용지_지번수,도로_면적,도로_지번수,철도용지_면적,철도용지_지번수,제방_면적,제방_지번수,하천_면적,하천_지번수,구거_면적,구거_지번수,유지_면적,유지_지번수,양어장_면적,양어장_지번수,수도용지_면적,수도용지_지번수,공원_면적,공원_지번수,체육용지_면적,체육용지_지번수,유원지_면적,유원지_지번수,종교용지_면적,종교용지_지번수,사적지_면적,사적지_지번수,묘지_면적,묘지_지번수,잡종지_면적,잡종지_지번수
경상남도 창원시 의창구  ,11437596 ,15156 ,42622499 ,30885 ,11506015 ,5266 ,309329 ,285 ,75048294 ,13268 ,0 ,0 ,0 ,0 ,12562754 ,31709 ,3108794 ,1322 ,1332841 ,146 ,140702 ,140 ,70353 ,79 ,563992 ,683 ,12698697 ,18697 ,644760 ,431 ,1440984 ,2004 ,9124129 ,1127 ,6984066 ,6976 ,7684553 ,1520 ,26176 ,16 ,328888 ,638 ,1268737 ,390 ,846443 ,95 ,0 ,0 ,114161 ,128 ,3627 ,1 ,1163490 ,1812 ,3230683 ,1348 
경상남도 창원시 성산구  ,968373 ,1513 ,2014648 ,3213 ,605460 ,493 ,1286 ,2 ,45534412 ,3797 ,0 ,0 ,0 ,0 ,8625832 ,11026 ,15325794 ,915 ,1138993 ,111 ,136053 ,96 ,35891 ,43 ,22100 ,13 ,7260584 ,3035 ,309449 ,101 ,85298 ,66 ,1663245 ,261 ,1053656 ,843 ,227271 ,74 ,0 ,0 ,338646 ,202 ,1547238 ,259 ,592670 ,21 ,0 ,0 ,69298 ,49 ,54310 ,2 ,246468 ,140 ,1250291 ,228 
경상남도 창원시 마산합포구  ,9394132 ,16025 ,24153740 ,30564 ,1472518 ,430 ,461639 ,319 ,168982738 ,21428 ,0 ,0 ,0 ,0 ,10555891 ,39230 ,2508331 ,805 ,1175644 ,244 ,145899 ,133 ,61541 ,83 ,117844 ,169 ,9751470 ,20377 ,108855 ,190 ,303124 ,866 ,3329113 ,1691 ,3036583 ,2796 ,1040126 ,880 ,6457 ,6 ,65919 ,56 ,622322 ,215 ,70625 ,19 ,199120 ,39 ,180644 ,167 ,165 ,2 ,1090216 ,1169 ,2364744 ,1997 
경상남도 창원시 마산회원구  ,2046443 ,4146 ,5194481 ,7951 ,727068 ,301 ,65099 ,52 ,63312056 ,5045 ,10 ,1 ,0 ,0 ,6536431 ,21466 ,2098567 ,1110 ,899128 ,79 ,51125 ,73 ,59265 ,81 ,37850 ,84 ,4773688 ,7085 ,443806 ,468 ,53075 ,235 ,1329498 ,384 ,1523112 ,1251 ,155523 ,188 ,6101 ,3 ,127873 ,208 ,278552 ,91 ,255947 ,23 ,492 ,1 ,69601 ,81 ,2989 ,10 ,258601 ,196 ,306431 ,412 
경상남도 창원시 진해구  ,3567590 ,7400 ,4690123 ,6715 ,452508 ,309 ,17223 ,14 ,70546947 ,5002 ,0 ,0 ,0 ,0 ,11340395 ,26304 ,2730075 ,463 ,701047 ,96 ,199182 ,215 ,40708 ,55 ,405838 ,81 ,7900264 ,10456 ,331453 ,334 ,261447 ,182 ,605539 ,296 ,856661 ,1156 ,237487 ,160 ,0 ,0 ,464917 ,142 ,1593024 ,326 ,2102405 ,169 ,58469 ,17 ,107138 ,113 ,10574 ,3 ,417800 ,511 ,14423339 ,1545 
경상남도 진주시,47541821 ,59136 ,85434878 ,71742 ,11643264 ,2664 ,948727 ,448 ,413413100 ,44623 ,3 ,1 ,0 ,0 ,26202848 ,69976 ,4530816 ,1162 ,3277516 ,381 ,387393 ,385 ,117627 ,150 ,1103441 ,1179 ,32081135 ,60549 ,1591653 ,1875 ,3640764 ,6223 ,26633498 ,6774 ,17201245 ,17316 ,24005172 ,14036 ,11066 ,10 ,345126 ,611 ,2558654 ,585 ,1676843 ,231 ,148341 ,57 ,424517 ,422 ,334 ,1 ,2874059 ,1693 ,5119536 ,2983 
경상남도 통영시  ,31132438 ,41944 ,15295912 ,23342 ,1073321 ,865 ,185291 ,140 ,154425601 ,25845 ,0 ,0 ,29539 ,7 ,10204711 ,34355 ,3745788 ,551 ,898241 ,287 ,93325 ,156 ,87188 ,106 ,404492 ,579 ,11464114 ,31200 ,0 ,0 ,248724 ,523 ,594165 ,903 ,2123637 ,2383 ,551621 ,490 ,293390 ,321 ,314390 ,746 ,577940 ,121 ,705610 ,48 ,285152 ,85 ,236064 ,331 ,583465 ,68 ,1703108 ,3023 ,2656186 ,3292 
경상남도 사천시  ,24187399 ,37519 ,57805902 ,51136 ,3393062 ,1153 ,1842572 ,638 ,227772939 ,26347 ,0 ,0 ,11504 ,8 ,14280853 ,39248 ,6054894 ,1158 ,880774 ,203 ,248728 ,230 ,82572 ,128 ,619534 ,839 ,18799401 ,43479 ,354314 ,467 ,1146150 ,1903 ,7970466 ,4180 ,7174458 ,8457 ,9958848 ,3635 ,72342 ,30 ,664247 ,2061 ,1090437 ,281 ,2866833 ,163 ,304981 ,124 ,336147 ,354 ,81138 ,24 ,1690962 ,1884 ,9131706 ,2587 
경상남도 김해시  ,16915599 ,28620 ,64372552 ,56895 ,4532967 ,1798 ,1379482 ,1173 ,230317303 ,27714 ,0 ,0 ,0 ,0 ,28015136 ,57240 ,25145591 ,11777 ,2540114 ,243 ,634828 ,448 ,277881 ,338 ,1070309 ,743 ,31008471 ,51294 ,1579309 ,1571 ,1933997 ,3124 ,25585969 ,6365 ,9832673 ,12383 ,1597457 ,1617 ,26164 ,22 ,1137397 ,404 ,3680018 ,868 ,2625016 ,343 ,1049008 ,82 ,427743 ,327 ,187691 ,14 ,2591627 ,2468 ,5088969 ,3006 
경상남도 밀양시  ,46068749 ,57345 ,112410917 ,91051 ,5001492 ,1586 ,1113332 ,838 ,513877730 ,48108 ,3 ,1 ,0 ,0 ,20362523 ,54856 ,4982163 ,1505 ,1282405 ,211 ,282037 ,315 ,60955 ,96 ,1374506 ,1857 ,21473620 ,49750 ,1697780 ,1183 ,4265362 ,5768 ,32505408 ,6870 ,13716078 ,14201 ,6674054 ,2477 ,49593 ,34 ,183212 ,124 ,815383 ,302 ,2537103 ,103 ,221651 ,161 ,472556 ,479 ,90834 ,51 ,4267114 ,4332 ,2924922 ,2800 
