구분,아파트 단지명,위 치(도로명 주소),세대수,연면적합계(제곱미터),사용승인일,동수,지하,지상,세부용도
1,대송아파트1차,경상남도 함안군 가야읍 말산리 103(중앙남 3길 6),50,4150,1990-01-12,1,0,5,아파트
2,대송아파트2차,경상남도 함안군 가야읍 말산리 102(중앙남 3길 6),50,4521.24,1990-11-30,1,0,5,아파트
3,대한아파트,경상남도 함안군 가야읍 도항리 455-2(고분2길 6),34,2069.08,1989-06-08,1,0,5,아파트
4,동명아파트,경상남도 함안군 가야읍 말산리 180(중앙남길 50),40,3112.6,1990-01-20,1,0,5,아파트
5,무학아파트,경상남도 함안군 가야읍 말산리 184(말산1길 20),50,4406.2,1990-07-25,1,0,5,아파트
6,금강그린아파트,경상남도 함안군 가야읍 말산리 284(중앙본길 18),60,5476.85,1990-08-13,2,0,5,아파트
7,천일아라아파트1차,경상남도 함안군 가야읍 검암리 932-1(가야20길 24),60,5904.01,1990-12-31,2,0,5,아파트
8,천일아라아파트2차,경상남도 함안군 가야읍 검암리 932-8(가야20길 24),40,3072.21,1991-10-21,1,0,5,아파트
9,동신아파트1차,경상남도 함안군 가야읍 도항리 224-4(도항2길 65),173,16467.74,1991-12-30,1,1,15,아파트
10,동신아파트2차,경상남도 함안군 가야읍 도항리 225-2(도항 2길 55),285,20900.56,1992-04-18,2,1,10~15,아파트
11,해동아파트,경상남도 함안군 가야읍 말산리 448(해동길 22),174,17612.43,1992-10-10,1,1,15,아파트
12,전원맨션,경상남도 함안군 가야읍 말산리 58-113(가야10길 13),80,9445.62,1995-03-31,1,1,14,아파트
13,은하아파트,경상남도 함안군 가야읍 검암리 587(하검길 136),132,9151.34,1995-03-25,2,0,6,아파트
14,성진맨션,경상남도 함안군 가야읍 검암리 535-1(검암천 남길2),99,10418.46,1992-09-09,1,1,13,아파트
15,남선아파트,경상남도 함안군 가야읍 도항리 214-2(도항2길 6),150,13839.9,1996-07-22,1,1,15,아파트
16,남경타운,경상남도 함안군 가야읍 말산리 33-3(가야15길 26),355,35697.24,1997-06-28,2,1,15~18,아파트
17,한국아파트,경상남도 함안군 가야읍 검암리 934-5(남경길 186),112,8978.76,2000-12-09,1,1,18,아파트
18,동원체어빌,경상남도 함안군 가야읍 검암리 933-7(남경길 172),16,2231.1,2003-06-27,1,0,9,아파트
19,안흥빌라트,경상남도 함안군 가야읍 말산리 58-83(장터길 53),44,5930.07,2002-06-11,1,0,13,아파트
20,해동그린빌라,경상남도 함안군 가야읍 말산리 18-2(남경길 156),19,2161.22,2002-05-24,1,0,6,아파트
21,도항주공1단지,경상남도 함안군 가야읍 도항리 310-2(성내북길 25),364,25833.11,2004-07-19,13,1,5,아파트
22,도항주공2단지,경상남도 함안군 가야읍 도항리 307(성내북길 57),431,29132.39,2006-05-04,17,0,5,아파트
23,로얄베스트,경상남도 함안군 가야읍 도항리 352(함마대로 1514-20),18,1734.66,2010-12-10,1,0,9,아파트
24,윤창타워,경상남도 함안군 가야읍 검암리 934-6(남경길 180),30,3539.28,2010-12-16,1,1,15,아파트
25,골드캐슬,경상남도 함안군 가야읍 검암리 963(가야로 140),19,2068.73,2011-12-20,1,0,10,아파트
26,한미럭키빌,경상남도 함안군 가야읍 말산리 457-23(가야로 24-1),20,1438.12,2012-05-31,1,0,7,아파트
27,대경파미르,경상남도 함안군 가야읍 검암리 770(가야로 155),245,28396.52,2012-09-14,2,1,21,아파트
28,고려제강함안사옥,경상남도 함안군 가야읍 도항리 428-1(함마대로 1514-13),19,1753.38,2013-02-07,1,0,5,아파트
29,태완노블리안,경상남도 함안군 가야읍 말산리 23(가야18길 22),295,36016.51,2014-07-30,4,1,22,아파트
30,함안도항대경파미르,경상남도 함안군 가야읍 도항리 320 (성내북길 70),189,24090.87,2014-11-28,5,1,15,아파트
31,골드캐슬2차,경상남도 함안군 가야읍 도항리 122-1(충무길 53),28,3324.99,2016-02-04,1,0,15,아파트
32,함안도항LH3단지,경상남도 함안군 가야읍 도항리 306(성내북길 77),190,10559.94,2016-08-02,3,0,9,아파트
33,휴니온클래식,경상남도 함안군 가야읍 도항리 323-4(성내남길 186),76,15889.08,2018-01-25,1,3,15,아파트
34,문화스타맨션,경상남도 함안군 군북면 중암리 209-2(함마대로 755-1),42,3286.33,1991-07-22,1,1,5,아파트
35,무학아파트,경상남도 함안군 군북면 중암리 131-1(중앙4길 47-1),53,4763.25,1997-03-29,1,1,15,아파트
36,봉국한마음아파트,경상남도 함안군 군북면 소포리 1633(함마대로 885),50,4206.84,2013-11-29,2,0,5,아파트
37,수피아(A),경상남도 함안군 군북면 중암리 315(중암2길 52),11,659.07,2014-03-25,1,0,5,아파트
38,수피아(B),경상남도 함안군 군북면 중암리 315-3(중암2길 56),10,594.62,2014-03-25,1,0,5,아파트
39,서정에이스,경상남도 함안군 법수면 윤외리 168(석무길 62),48,4868.65,2011-02-11,1,0,9,아파트
40,삼진아파트,경상남도 함안군 대산면 구혜리 319-1(대산중앙3길 88),51,3613.6,2001-10-16,1,0,6,아파트
41,기공아파트,경상남도 함안군 칠서면 무릉리 1058-1(함의로 7),107,10554.7,1997-08-02,1,0,15,아파트
42,칠서에이스아파트,경상남도 함안군 칠서면 무릉리 1122(칠평로 64),837,71756.85,2001-04-16,7,2,15,아파트
43,칠서에이스2단지아파트,경상남도 함안군 칠서면 무릉리 1122-1(칠평로 62),415,31638.45,2001-04-16,5,1,15,아파트
44,에이리브빌,경상남도 함안군 칠서면 계내리 357(계내리2길 26),18,1295.06,2011-02-17,1,0,5,아파트
45,진명리버빌,경상남도 함안군 칠서면 계내리 357-3(계내2길 28),18,1518.24,2014-02-04,1,0,5,아파트
46,청호아파트,경상남도 함안군 칠원읍 구성리 798-2(서남길 92),50,4034.3,1991-11-07,1,0,5,아파트
47,뉴선두아파트,경상남도 함안군 칠원읍 무기리 1130-1(동대이안길 77),110,7460,1991-08-09,3,0,5,아파트
48,대륭아트빌,경상남도 함안군 칠원읍 구성리 561(운무로 12),75,7234.3,1991-12-07,1,1,11,아파트
49,수정그린아파트,경상남도 함안군 칠원읍 예곡리 409(경남대로 1504-1),150,14351.22,1993-11-20,1,1,15,아파트
50,신영장미아파트,경상남도 함안군 칠원읍 용산리 317-4(용산2길 80),88,8397.4,1993-02-04,1,0,12,아파트
51,선두2차아파트,경상남도 함안군 칠원읍 무기리 1125(동대이안길 67),78,6540.18,1994-02-15,1,1,6,아파트
52,대동아파트,경상남도 함안군 칠원읍 무기리 878-2(갈티길 18-3),498,49039.03,1998-04-21,9,1,10~15,아파트
53,금안주택,경상남도 함안군 칠원읍 구성리 809-1(구성길 125),55,6091.95,2002-01-24,1,1,14,아파트
54,동성아파트,경상남도 함안군 칠원읍 구성리 950-4(원서로 89-21),450,42009.46,2003-11-14,7,1,15,아파트
55,메트로자이아파트,경상남도 함안군 칠원읍 오곡리 1-1(삼호길 181),"1,794",223909.99,2006-09-18,22,1,15~20,아파트
56,벽산블루밍1차아파트,경상남도 함안군 칠원읍 오곡리 87(오곡로 103),726,105132.15,2008-06-13,12,1,19~20,아파트
57,칠원국민임대아파트,경상남도 함안군 칠원읍 구성리 979(구성길 141),656,44482.03,2012-08-17,8,1,15,아파트
58,더노블리지,경상남도 함안군 칠원읍 오곡리 125-10(호암길 22),19,7409.27,2014-01-03,1,2,7,아파트
59,벽산블루밍2차아파트,경상남도 함안군 칠원읍 오곡리 113(호암길 6),530,69932.71,2014-06-17,9,1,20,아파트
60,고려빌라,경상남도 함안군 가야읍 도항리 287-5(충무길 31),60,4195.11,1991-05-23,3,1,3,연립주택
