연번,읍면,마을회관명,주 소
1,가야읍,본동마을회관,경상남도 함안군 가야읍 본동길57
2,가야읍,중동마을회관,경상남도 함안군 가야읍 방목1길 22
3,가야읍,해동마을회관,경상남도 함안군 가야읍 해동길22
4,가야읍,동동마을회관,경상남도 함안군 가야읍 방목1길 32
5,가야읍,신동마을회관,경상남도 함안군 가야읍 가야17길22
6,가야읍,아라동마을회관,경상남도 함안군 가야읍 가야18길 22노블리안102동 103호
7,가야읍,남경아파트마을회관,경상남도 함안군 가야읍 가야15길 26남경apt 부속 d동1층
8,가야읍,중앙1동마을회관,경상남도 함안군 가야읍 중앙남1길12
9,가야읍,중앙2동 마을회관,경상남도 함안군 가야읍 중앙본안길22
10,가야읍,상검동마을회관,경상남도 함안군 가야읍 상검길24
11,가야읍,중검동마을회관, 경상남도 함안군 가야읍 검암천남길 41
12,가야읍,하검동마을회관,경상남도 함안군 가야읍 하검안길2-2
13,가야읍,은하아파트마을회관,경상남도 함안군 가야읍 하검길136
14,가야읍,광복동마을회관,경상남도 함안군 가야읍 가야로144
15,가야읍,상광마을회관,경상남도 함안군 가야읍 광정로251
16,가야읍,중광마을회관,경상남도 함안군 가야읍 광정로172
17,가야읍,백산마을회관,경상남도 함안군 가야읍 잣뫼길 8
18,가야읍,도동마을회관,경상남도 함안군 가야읍 도동길129
19,가야읍,삼기마을회관,경상남도 함안군 가야읍 삼기길152-1
20,가야읍,원동마을회관,경상남도 함안군 가야읍 고분2길15-9
21,가야읍,도항주공1단지아파트마을회관, 경상남도 함안군 가야읍 성내북길 25 함안도항주공1단지아파트113동
22,가야읍,도항2단지주공아파트마을회관, 경상남도 함안군 가야읍 성내북길 57 함안도항2주공아파트 209동
23,가야읍,충무동마을회관,경상남도 함안군 가야읍 함안대로 588-1
24,가야읍,당산동마을회관,경상남도 함안군 가야읍 도항1길46-5
25,가야읍,남선아파트마을회관,경상남도 함안군 가야읍 도항2길 6 남선apt부속 d동1층
26,가야읍,동신아파트 마을회관,경상남도 함안군 가야읍 도항2길55
27,가야읍,돈산마을회관,경상남도 함안군 가야읍 돈산길67
28,가야읍,도음마을회관,경상남도 함안군 가야읍 도음길152
29,가야읍,관동마을회관,경상남도 함안군 가야읍 관동길 29-1
30,가야읍,괘안마을회관,경상남도 함안군 가야읍 신암1길79
31,가야읍,신암마을회관,경상남도 함안군 가야읍 신암3길19
32,가야읍,월성마을회관,경상남도 함안군 가야읍 혈곡로 127
33,가야읍,춘곡마을회관,경상남도 함안군 가야읍 춘곡2길104
34,가야읍,덕전마을회관,경상남도 함안군 가야읍 백새길189
35,가야읍,필동마을회관,경상남도 함안군 가야읍 북실길192
36,가야읍,가야동마을회관,경상남도 함안군 가야읍 왕궁길170-11
37,가야읍,선왕마을회관,경상남도 함안군 가야읍 선왕길 462
38,가야읍,묘동마을회관,경상남도 함안군 가야읍 묘사1길275
39,가야읍,장명마을회관,경상남도 함안군 가야읍 묘사2길 348-2
40,가야읍,양수장마을회관,경상남도 함안군 가야읍 양포길42
41,가야읍,이곡마을회관,경상남도 함안군 가야읍 이곡1길238-2
42,가야읍,축암마을회관,경상남도 함안군 가야읍 산서8길 110-31
43,가야읍,입등마을회관,경상남도 함안군 가야읍 산서2길12
44,가야읍,도화마을회관,경상남도 함안군 가야읍 산서7길178
45,가야읍,대경동마을회관,경상남도 함안군 가야읍 가야로 155(대경파미르 경로당)
46,칠원읍,곡촌부녀마을회관, 경상남도 함안군 칠원읍 예곡2길 51 
47,칠원읍,남구마을회관,경상남도 함안군  칠원읍 구성1길 55 
48,칠원읍,달전마을회관, 경상남도 함안군 칠원읍 유원길 539 
49,칠원읍,덕산마을회관, 경상남도 함안군 칠원읍 덕산1길 42 
50,칠원읍,덕암마을회관, 경상남도 함안군 칠원읍 운곡3길 7-2 
51,칠원읍,돈담마을회관, 경상남도 함안군 칠원읍 돈담길 11 
52,칠원읍,동성아파트마을회관," 경상남도 함안군 칠원읍 원서로 89-21, 관리동 1층"
53,칠원읍,동암마을회관, 경상남도 함안군 칠원읍 유장3길 91 
54,칠원읍,무기마을회관, 경상남도 함안군 칠원읍 무기1길 6-5
55,칠원읍,부곡마을회관,경상남도 함안군  칠원읍 부곡1길 39
56,칠원읍,산정마을회관,경상남도 함안군  칠원읍 무기로 423
57,칠원읍,서상마을회관, 경상남도 함안군 칠원읍 서남1길 29 
58,칠원읍,석전부녀마을회관, 경상남도 함안군 칠원읍 석전1길 98 
59,칠원읍,야촌마을회관, 경상남도 함안군 칠원읍 야촌1길 7-1
