연번,업종명,업소명,영업소 주소(도로명),소재지전화
1,이용업,가야중앙이발관,"경상남도 함안군 군북면 중암12길 4, 1층", 055- 583-7777
2,이용업,당산이발관,경상남도 함안군 가야읍 도항리 154-3, 055- 583-2556
3,이용업,영광이용원,경상남도 함안군 가야읍 가야19길 11, 055- 584-4478
4,이용업,장지이용원,경상남도 함안군 군북면 장지리 302-1, 055- 582-5777
5,이용업,산서이발관,경상남도 함안군 가야읍 산서리 684, 055- 583-5173
6,이용업,우리이발관,경상남도 함안군 가야읍 말산리 414-8, 055- 583-5420
7,이용업,역전이발관,경상남도 함안군 군북면 중암7길 40, 055- 585-6277
8,이용업,진이용원,"경상남도 함안군 함안면 함안대로 98-1, 진이용원", 055- 584-0028
9,이용업,가야이발관,경상남도 함안군 가야읍 함안대로 596, 055- 583-0262
10,이용업,세화이용원,경상남도 함안군 함안면 봉성리 1170, 055- 583-4029
11,이용업,평림이용원,경상남도 함안군 대산면 대산중앙로 182, 055- 582-2797
12,이용업,역전이발관,경상남도 함안군 가야읍 가야로 93, 055- 583-0858
13,이용업,칠성이용원,경상남도 함안군 칠서면 무릉리 925-3, 055- 587-2007
14,이용업,우정 이발관,경상남도 함안군 산인면 송정리 446-1, 055- 582-6275
15,이용업,동남이용원,경상남도 함안군 대산면 구혜리 311-13, 055- 583-7504
16,이용업,칠원이용원,경상남도 함안군 칠원읍 성내길 132, 055- 586-2590
17,이용업,우성이용원,경상남도 함안군 함안면 함안대로 133, 055- 582-6938
18,이용업,칠성이용원,경상남도 함안군 가야읍 가야로 18, 055- 585-2929
19,이용업,중앙이용원,경상남도 함안군 대산면 대산중앙로 249 ((1층)),055 -582 -2833
20,이용업,우리이용원,경상남도 함안군 칠원읍 용산2길 26, 055- 587-2538
21,이용업,대현이용원,경상남도 함안군 가야읍 함안대로 554, 055- 583-6834
22,이용업,석무이용원,경상남도 함안군 법수면 법정로 12-1,
23,이용업,에이스이용원,경상남도 함안군 칠서면 함의로 38,055 -586 -1357
24,이용업,가인헤어리더이발관,경상남도 함안군 가야읍 가야로 119,055 -585 -7187
25,이용업,백운이용원,경상남도 함안군 가야읍 도항1길 17-1,
26,이용업,태후사랑염색방,"경상남도 함안군 칠원읍 용산2길 11, 1호",055 -587 -3046
27,이용업,중리 이용원,"경상남도 함안군 칠원읍 구성길 14, 1층",
28,미용업,서울미용실,경상남도 함안군 칠원읍 구성길 26, 055- 587-0717
29,미용업,선경미장원,경상남도 함안군 가야읍 가야6길 14, 055- 583-4991
30,미용업,현미용실,경상남도 함안군 대산면 대산중앙로 222, 055- 582-9282
31,미용업,모아미용실,경상남도 함안군 가야읍 함안대로 535, 055- 582-0998
32,미용업,미리내미용실,경상남도 함안군 대산면 대산중앙로 215, 055- 582-2888
33,미용업,코코헤어,"경상남도 함안군 가야읍 말산1길 36, 1호", 055- 582-1549
34,미용업,현대머리방,경상남도 함안군 가야읍 중앙남길 11, 055- 583-4363
35,미용업,블랙미니헤어,"경상남도 함안군 가야읍 가야로 51, 4층", 055- 583-3633
36,미용업,네오리브 헤어스케치,경상남도 함안군 가야읍 가야12길 3 ((사용층수 : 1층)), 055- 583-3129
37,미용업,썬미장원,경상남도 함안군 대산면 대산중앙로 208-1, 055- 582-2939
38,미용업,OK 미용실,경상남도 함안군 가야읍 함안대로 557, 055- 583-7661
39,미용업,댕기머리 미용실,경상남도 함안군 가야읍 가야로 46-3, 055- 584-1204
40,미용업,쉬크헤어,경상남도 함안군 가야읍 함마대로 1636-16 ((함안버스터미널 2층)), 055- 582-5758
41,미용업,멋쟁이미용실,경상남도 함안군 칠원읍 원서로 15, 055- 587-4806
42,미용업,코스모스미용실,경상남도 함안군 가야읍 함안대로 542-1, 055- 583-3088
43,미용업,세븐헤어라인,"경상남도 함안군 가야읍 가야로 26, 세븐헤어라인", 055- 582-1441
44,미용업,21세기 헤어,"경상남도 함안군 가야읍 가야15길 26, 2층 204호 (남경타운)", 055- 585-5857
45,미용업,에벤에셀미용실,경상남도 함안군 군북면 함마대로 817, 055- 585-5043
46,미용업,하수미미용실,경상남도 함안군 군북면 강둑아랫길 6, 055- 583-4008
47,미용업,고운머리하는날,경상남도 함안군 군북면 함마대로 819, 055- 585-3104
48,미용업,다원미용실,경상남도 함안군 칠원읍 갈티길 18-3 (대동상가 104호), 055- 587-1821
